Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3
721,0.0835908074683279,0.0856119316697774,0.08734899732546039,0.0897627281324935
722,0.08359080746832753,0.08561193166977757,0.08734899732546034,0.08976272813249378
723,0.08359080746832762,0.08561193166977729,0.0873489973254605,0.08976272813249384
724,0.08359080746832781,0.08561193166977746,0.08734899732546067,0.089762728132494
725,0.08359080746832756,0.08561193166977718,0.08734899732546017,0.08976272813249372
726,0.083590807468328,0.08561193166977764,0.08734899732546053,0.08976272813249352
727,0.0835908074683277,0.08561193166977732,0.08734899732546042,0.08976272813249386
728,0.08359080746832782,0.08561193166977746,0.08734899732546067,0.089762728132494
729,0.08359080746832774,0.08561193166977736,0.08734899732546035,0.08976272813249368
730,0.08359080746832787,0.08561193166977749,0.08734899732546025,0.08976272813249381
731,0.08359080746832767,0.08561193166977729,0.08734899732546039,0.08976272813249372
732,0.08359080746832791,0.08561193166977753,0.08734899732546018,0.08976272813249363
733,0.0835908074683277,0.08561193166977732,0.08734899732546053,0.08976272813249353
734,0.08359080746832794,0.08561193166977757,0.08734899732546034,0.08976272813249389
735,0.08359080746832774,0.08561193166977736,0.08734899732546046,0.0897627281324938
736,0.08359080746832787,0.08561193166977749,0.08734899732546025,0.08976272813249347
737,0.0835908074683279,0.08561193166977751,0.0873489973254605,0.08976272813249361
738,0.08359080746832757,0.0856119316697772,0.0873489973254604,0.08976272813249396
739,0.0835908074683277,0.08561193166977732,0.08734899732546053,0.08976272813249364
740,0.08359080746832782,0.08561193166977746,0.08734899732546023,0.08976272813249378
741,0.08359080746832796,0.08561193166977758,0.08734899732546057,0.08976272813249357
742,0.08359080746832809,0.08561193166977771,0.08734899732546048,0.08976272813249347
743,0.08359080746832767,0.08561193166977728,0.08734899732546016,0.08976272813249393
744,0.0835908074683278,0.0856119316697774,0.08734899732546039,0.08976272813249372
745,0.0835908074683277,0.08561193166977732,0.0873489973254602,0.08976272813249397
746,0.08359080746832781,0.08561193166977743,0.08734899732546042,0.08976272813249364
747,0.08359080746832759,0.08561193166977721,0.0873489973254602,0.08976272813249397
748,0.0835908074683277,0.08561193166977732,0.0873489973254602,0.08976272813249397
749,0.08359080746832781,0.08561193166977743,0.0873489973254602,0.08976272813249397
750,0.08359080746832781,0.08561193166977743,0.08734899732546042,0.08976272813249375
751,0.08359080746832803,0.08561193166977765,0.08734899732546064,0.08976272813249375
752,0.08359080746832803,0.08561193166977765,0.08734899732546064,0.08976272813249375
753,0.08359080746832781,0.08561193166977743,0.08734899732546031,0.08976272813249386
754,0.08359080746832792,0.08561193166977754,0.08734899732546053,0.08976272813249364
